MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,Product Name
ICL MARKETING,EVA,EVA /STAR /8PAD /POCH PACK /DRITEX WINGS,10000,10000,08,POCH ,Dritex Wings
ICL MARKETING,REBECCA LEE BABY,REBECALEE/70G*5/CD BOX/CASSIC /SAVE 50/=,70,GM,70G*5,CD BOX,Cassic (or Cassetic based on spelling)
STAR KING,STAR KING,STAR KING / 60 / ML / PLBOT / CLORAEX,10000,10000,60 ML,PLBOT,STAR KING
NESTLE LANKA,MAGGI,MAGGI / 75 / GM / PLPCH / PAPARE BLAST,10000,10000,75 GM,PLPCH,Papare Blast (Assuming Papare Blast is a product name in this context)
CBL FOODS INTERNATIONAL (PVT)LTD,RITZBURY CHOCO-LA,RITZBURY/25G/PLPCH/CHOCO- LA MILK CHOCO,25,GM,25G,PLPCH,LA MILK CHOCO
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH ,SUPER CREAM CRACKER
IMPORTED,ROKAF,"ROKAF/1NO/ POUCH/ 9"" PAINT ROLLER",1,NO,1NO,POUCH,"9"" Paint Roller"
STAR PAINT INDUSTRIES,STARLAC,STARLAC/ 200ML/ TIN/ VARNISH,200,ML,200ML,TIN,STARLAC (Varnish)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER FAMILY PAC,MALIBAN/CREAM CRACKER FAMILY PAC/490/G/PLPCH/SAVE RS 60,10000,10000,490,PLPCH,Maliban/Cream Cracker
CEYLON BISCUITS LIMITED,TIARA ,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX ,PINEAPPLE FLAVOURED SPONGE LAYER CAKE
CEYLON BISCUITS LIMITED,TIARA ,TIARA/310/GM/CD BOX/PINEAPPLE FLAVOURED SPONGE LAYER CACK,310,GM,310GM,CD BOX ,PINEAPPLE FLAVOURED SPONGE LAYER CAKE
LAKSIRI ENTERPRISES,LAKSIRI,LAKSIRI /400/GM/PLPCH/ NOODLES,400,GM,400GM,PLPCH,Noodles
HEMAS MARKETING,FEMS,FEMS/2/NO/PLPCH/COTTON FEEL WINGS FIT TO BODY/15/- SAVE,2,NO,2NO,PLPCH,COTTON FEEL WINGS FIT TO BODY
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES,75,GM,75G,PLPCH,Paprika Blast Instant Noodles
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000,Star Dritex Wings Secure Fit
CARGILLS FOOD & BEVERAGE LIMITED ,KIST ,KIST/250/ML/TIN/SPARKLING/ORANGE FLAVOURED DRINK ,10000,10000,250 ML,TIN,Orange Flavoured Drink (Sparkling)
CARGILLS FOOD & BEVERAGE LIMITED ,KIST ,KIST/250/ML/TIN/SPARKLING/STRAWBERRY FLAVOURED DRINK ,10000,10000,250 ML,TIN,Strawberry Flavoured Drink
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA ,KHOMBA/50/ML/CDBOX/KOHOMBA AND VENIVEL BABY COLOGNE,10000,10000,50 ML,CDBOX ,KHOMBA & VENIVEL BABY COLOGNE
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/1000/ML/PLCAN/NC THINNER ,1000,ML,1000ML,PLCAN,Mahaweli Special NC Thinner
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,MAHAWELI SPECIAL/2000/ML/PLCAN/NC THINNER ,2000,ML,2000ML,PLCAN,MAHAWELI SPECIAL NC THINNER
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/PAPARE BLAST INSTANT NOODLES ,75,GM,75G,PLPCH ,Papaya Blast Instant Noodles
MAAM BISCUITS LANKA (PVT) LTD,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER FAMILY PACK SEASONAL OFFER R.S.60,490,GM,490G,PLPCH ,Cream Cracker Family Pack (Seasonal Offer)
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/25 GM/CDBOX,10000,10000,25 GM,CDBOX,GLOW & LOVELY Powder Finish Cream
UNILEVER SRI LANKA LTD,FAIR & LOVELY,FAIR/&/LOVELY/IS NOW/GLOW & LOVELY/POWDER/FINISH/CREAM/WITH MULTI VITAMINES/BRICHTENINC/POWDER/50 GM/CDBOX,10000,10000,50 GM,CDBOX,GLOW & LOVELY Powder Finish Cream
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY/350G(70G*5)/CDBOX/ACTIVE FLORAL FREE PEARS BABY BED TIME CHOOTY PACK 70G SAVE RS 45.00,350,GM,350G(70*5),CDBOX,Pear Baby Bed Time Chooty Pack (Active Floral Free)
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES ,75,GM,75G,PLPCH ,Papaya Blast Instant Noodles (Maggi)
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ GRAPE BURST / CAN,250,ML,250ML ,CAN,Grape Burst (From VIBE)
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ KIWI BURST / CAN,250,ML,250ML ,CAN,KIWI BURST (From your provided text)
CEYLON COLD STORES,VIBE,VIBE/ 250ML/ APPLE BURST / CAN,250,ML,250ML ,CAN,"Apple Burst (Based on the context, it appears to be a flavor of a product, but without more specific context, I can't definitively say it's a product name. It could also be part of a product name.)"
CEYLON COLD STORES,VIBE,VIBE / ORANGE BURST /250ML/ CAN,250,ML,250ML ,CAN,Orange Burst (Based on the given information)
ALOIS ENTERPRISES ,ALOIS,ALOIS\750\ML\GBT\SUPER HIGH GLOSS NC THINNER ,750,ML,750ML,GBT,SUPER HIGH GLOSS NC THINNER
ALOIS ENTERPRISES ,ALOIS,ALOIS\2\L\PL CAN\WOOD PRESERVATIVE CLEAR ,2,LTR,2L,PL CAN,"Wood Preservative Clear (Based on the given notation format, it is inferred that ""WOOD PRESERVATIVE CLEAR"" is the product name.)"
ALOIS ENTERPRISES ,ALOIS,ALOIS\180\ML\GBT\SUPER HIGH GLOSS NC THINNER ,180,ML,180ML,GBT,SUPER HIGH GLOSS NC THINNER
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/NO-1/POWER PLUS 10X ORIGNAL/FREE DIVA ROS3 & LIME,500,ML,500ML,PBT,HARPIC POWER PLUS 10X ORIGNAL
CAVINKARE PRIVATE LIMITED,MEERA,MEERA/80/ML/PLBOT/HAIR FALL CARE SHAMPOO/SHIKAKAI & BADAM,10000,10000,80 ML ,PLBOT ,Hair Fall Care Shampoo (Shikakai & Badam)
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES VANILLA WAFERS ,200,GM,200GM ,PLPCH ,KRISPIES VANILLA WAFERS
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH/KRISPIES CHOCOLATE WAFERS/USWATTE GOLDEN BISCUITS ,200,GM,200GM ,PLPCH ,"Krispies Chocolate Wafers, USWatte Golden Biscuits"
USWATTE GOLDEN BISCUITS PVT LTD,USWATTE WAFERS,USWATTE/200/GM/PLPCH / STRAWBERRY WAFERS ,200,GM,200GM ,PLPCH ,STRAWBERRY WAFERS
LAKLIGHTS PRODUCTS,LAKLIGHTS,LAKLIGHT/50/GM/PLPCH/VEGETABLE FLV SOYA MEAT,50,GM,50GM ,PLPCH ,VEGETABLE FLV SOYA MEAT
A BAUR& CO.PVT LTD,PARACHUTE,PARACHUTE/180/ML/PBT/HAIR FALL CONTROL/WITH COCONUT & GOTUKOLA,1080,ML,1080ML,PBT,PARACHUTE/HAIR FALL CONTROL/WITH COCONUT & GOTUKOLA
AMILA PRODUCTS,AMILA,AMILA/100/G/PLUPCH/ROASTED CURRY POWDER ,100,GM,100G,PLUPCH,Roasted Curry Powder
A BAUR& CO.PVT LTD,PARACHUTE,PARACHUTE/180/ML/PBT/DAMAGE REPAIR /WITH COCONUT & PERA KOLA,180,ML,180ML,PBT,PARACHUTE/DAMAGE REPAIR /WITH COCONUT & PERA KOLA
RECKITT BENCKISER (LANKA) LTD,DETTOL,DETTOL/70*4/GM/EWRPK/UP TO 5C COOLING SENSATION+FREE HARPIC/200/ML/PLBT/POWER PLUS 10 ,70,GM,70GM*4,EWRPK,1. Dettol (From the given description)
SOLA CHEMICAL CO (PVT) LTD,SOLA,SOLA/500/ML/PLBT/NEW REAL MOPPER DISINFECTANT SURFACE CLEANER LEMON,500,ML,500ML,PLBT,Real Mopper Disinfectant Surface Cleaner (Lemon)
SOLA CHEMICAL CO (PVT) LTD,SOLA,SOLA/500/ML/PLBT/NEW REAL MOPPER DISINFECTANT SURFACE CLEANER LAVENDER,500,ML,500ML,PLBT,REAL MOPPER DISINFECTANT SURFACE CLEANER LAVENDER
NETHMI CONFECTIONERY,SHEHARA,SHEHARA/CHOCOLATE/OPERA/ICING/CAKE/900 GM/CDBOX,10000,10000,900 GM,CDBOX,SHEHARA/CHOCOLATE/OPERA/CAKE
NETHMI CONFECTIONERY,SHEHARA,SHEHARA/VANILA/GENOISE/VANILA/FLAVOURED/ICING/CAKE/900/GM/CDBOX,10000,10000,900 GM,CDBOX,SHEHARA/VANILA/GENOISE/ICING/CAKE
UNILEVER SRI LANKA LTD,SUNLIGHT DETERGENT,SUNLIGHT/2 IN 1 CLEAN & CITRUS/FRESH/1000 GM/PLPCH,10000,10000,1000 GM,PLPCH,SUNLIGHT/2 IN 1 CLEAN & CITRUS
NESTLE LANKA,MAGGI CLASSIC,MAGGI /75G/POCH /PAPARE BLAST/,75,GM,75G,POCH ,PAPARE BLAST
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE /490G/POCH PACK /SUPER CREAM CRACKER /60 PRICE OFF,490,GM,490G,POCH ,SUPER CREAM CRACKER
KITCHEN DAIYA PRODUCT,KITCHEN DAIYA,KITCHEN /DAYY/100G/POCH PACK /CHIILLE POWDER ,100,GM,100G,POCH ,CHIILLE POWDER
RHD ENTERPRISES (PVT) LTD,RHD,"RHD/2.5/""/POLYTHENE COVER /PAINT BRUSH, ALL PAINTS",10000,10000,"2.5""",POLYTHENE COVER ,POLYTHENE COVER / PAINT BRUSH
VINI CONSUMER CARE LANKA PVT LTD,FOGG,FOGG/120/ML/TIN/PARADISE FRAGRANT BODY SPRAY FOR WOMEN,10000,10000,120 ML,TIN ,Paradise Fragrance Body Spray for Women
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYUVEDA SOAP,75,GM,75GM,CDBOX,Kohomba Ayurveda Soap
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC /500/ML/PLBOT/POWER PLUS 10X AADVANCED ORIGINAL / FREE DIVA ROSE FREESH 200GM ,500,ML,500ML,PLBOT,Harpic Power Plus 10X Advanced Original
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/75/GM/CDBOX/ VENIVEL AYURVEDA SOAP,75,GM,75GM,CDBOX,Venivel Ayurveda Soap
SUPIRI LANKA PRODUCTS,SUPIRI LANKA,SUPIRI LANKA/190/ML/PLCUP/ORANGE FLAVOURED DRINK,190,ML,190ML,PLCUP,ORANGE FLAVOURED DRINK
COCA-COLA BEVERAGES,SPRITE,SPRITE/1500/ML/PBT/SAVE 40,1500,ML,1500ML,PBT,Sprite
COCA-COLA BEVERAGES,COCA-COLA,COCA-COLA/1500/ML/PBT/SAVE 40,1500,ML,1500ML,PBT,Coca-Cola
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH ,Cream Cracker (from MALIBAN/490/G/PLPCH description)
PREMIUM WATER LANKA (PVT) LTD,CATCHY,CATCHY CEYLON DRINKIG WATER 500 ML,10000,10000,500 ML,PLBOT,CATCHY CEYLON DRINKING WATER
NEW MIDLEY LANKA MILK PRODUCTS,MIDLEY,MIDLEY FALUDA DRINK 200 ML PET,10000,10000,200 ML,PET,MIDLEY FALUDA DRINK
MALLIKA DAIRY PRODUCTS ,MALLIKA,MALLIKA MIXED FRUIT DRINK 200 ML PET,10000,10000,200 ML,PET,MALLIKA MIXED FRUIT DRINK
MALLIKA DAIRY PRODUCTS ,MALLIKA,MALLIKA CHOCOLATE FLAVOURED MILK DRINK 200 ML PET,10000,10000,200 ML,PET,Mallika Chocolate Flavoured Milk Drink
MALLIKA DAIRY PRODUCTS ,MALLIKA,MALLIKA MIXED FRUIT DRINK 200 ML PET,10000,10000,200 ML,PET,MALLIKA MIXED FRUIT DRINK
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/NUTRITION SUPPLEMENTS CHOCOLATEFLAVOURED/FREE LIPTON TEA PACK(LIPTON YELLOW LABEL 40/GM/20 TEA BAGS),400,GM,400GM,TIN,SUSTAGEN Chocolate-Flavoured Nutrition Supplements
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY BABYSOAP/5 * 75(375)/GM/CD BOX/ALMOND OIL , VITAMIN E & MILK/SAVE RS.45",10000,10000,5 * 75(375)GM,CD BOX ,"Baby Cheramy Almond Oil, Vitamin E & Milk BabySoap"
HEMAS PHARMACEUTICALS (PVT) LTD,SUSTAGEN,SUSTAGEN/400/GM/TIN/NUTRITION SUPPLEMENTS VANILLA FLAVOURED/(FREE LIPTON TEA PACK LIPTON YELLOW LABEL 40/GM/20 TEA BAGS),400,GM,400GM,TIN,SUSTAGEN VANILLA FLAVOURED NUTRITION SUPPLEMENTS
NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,PANDA BABY/100/ML/HERBAL COLOGNE NEEM & TURMERIC/GLBOT ,100,ML,100ML ,GLBOT ,PANDA BABY HERBAL COLOGNE NEEM & TURMERIC
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,NEW ARRIVAL SO SOFT/10/PADS/PLPCH/EVERY GIRLS TRUST COTTON FEEL WINGS SANITARY NAPKINS.,10,PADS,10PADS,PLPCH ,Every Girls Trust Cotton Feel Sanitary Napkins
PRIMELINE INDUSTRIES (PVT) LTD,SO SOFT,NEW ARRIVAL SO SOFT/10/PADS/PLPCH/EVERY GIRLS TRUST DRYTEX WINGS SANITARY NAPKINS.,10,PADS,10PADS,PLPCH ,Drytex Wings Sanitary Napkins
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",140,GM,140GM(110G×30G),CDB,"Total Oral Care Cavity Protection, Healthy Gums & Reduces Plaque with Clove Oil & Dasanakanthi Choornam"
MACLIMUM FMCG (PVT) LTD,MAAM CHOCOLATE CREAM,MAAM CHOCOLATE CREAM/90/GM/PLPCH ,90,GM,90GM ,PLPCH,MAAM Chocolate Cream
LELAN MARKETING,SHINE MAX CLOREX,SHINE MAX CLOREX/100/ML/PBT,100,ML,100ML ,PBT,SHINE MAX CLOREX
UNILEVER SRI LANKA LTD,RIN,RIN/2000(1KG×2)/GM/PLPCH/REFRESH LEMON & ROSE/FREE/BUCKET/1NO,2000,GM,2000GM(1KG×2),PLBUCKET ,REFRESH LEMON & ROSE
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH CITRUS/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER ,500,ML,500ML ,PBT,3 In 1 Rose & Lime Detergent Powder
BAKTHI HERBAL LANKA (PVT) LTD ,PRO FIX,PRO FIX/3/GM/SUPER GLUE ,3,GM,3GM,10000,SUPER GLUE
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM ,PLPCH ,Papare Blast
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH PINE/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER ,500,ML,500ML ,PBT,Diva Fresh 3 in 1 Rose & Lime Detergent Powder
UNILEVER SRI LANKA LTD,SIGNAL STRONG TEETH,SIGNAL STRONG TEETH/160/GM/MAX CAVITY PROTECTION & STRONGER ENAMEL/FREE/SIGNAL/1/NO/TRIPLE CLEAN MEDIUM TOOTH BRUSH ,160,GM,160GM ,10000,Signal Tooth Brush (Medium)
MANCHESTER FOODS (PVT) LTD,MAAM BANANA CREAM,MAAM BANANA CREAM/360/GM/PLPCH,360,GM,360GM ,PLPCH,MAAM BANANA CREAM
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/POWER PLUS 10X ADVANCED ORIGINAL/SAVE RS. 50/=,500,ML,500ML ,PBT,Harpic Power Plus 10X Advanced Original
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PBT/FRESH FLORAL/SAVE RS.50/=/FREE/DIVA FRESH/200/GM/PLPCH/3 IN 1 ROSE & LIME DETERGENT POWDER ,500,ML,500ML ,PBT,3 In 1 Rose & Lime Detergent Powder
CEYLON BISCUITS LIMITED,MUNCHEE SUPER CREAM CRACKER,MUNCHEE\490\G\EWRPK \SUPER CREAM CRACKER SAVE R.S 60,490,GM,490G,EWRPK ,SUPER CREAM CRACKER
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE \200\G\POUCH\FULL CREAM MILK POWDER ,200,GM,200G,POUCH ,PELWATTE Full Cream Milk Powder
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN MALT,MALIBAN MALT\400\G\POUCH \+FREE MALIBAN GOLD TEA BOPF 50G POUCH ,400,GM,400G,POUCH ,"1. Maliban Malt
   2. Maliban Gold Tea BOPF (assuming it's a product name, but it might be a flavor or variant)"
MALIBAN BISCUIT MANUFACTORIES,MALIBAN CREAM CRACKER ,MALIBAN\490\G\PLPCH \CREAM CRACKER FAMILY PACK SAVE R.S 60,490,GM,490G,PLPCH ,"CREAM CRACKER (From ""MALIBAN\490\G\PLPCH \CREAM CRACKER FAMILY PACK SAVE R.S 60"", the product name is the bolded part ""CREAM CRACKER"")"
CEYLON BISCUITS LIMITED,MUNCHEE ,"MUNCHEE/490/GM/PLPCH/SUPER CREAM CRACKER, ENRICHED WITH VITAMINS, SAVE RS 60",490,GM,490GM,PLPCH ,SUPER CREAM CRACKER
MALIBAN MILK PRODUCT (PVT) LTD,MALIBAN,MALIBAN/200/GM/CDBOX/FULL CREAM MILK POWDER. SAVE RS 20,200,GM,200GM,CDBOX ,Full Cream Milk Powder
NATURE'S BEAUTY CREATIONS LTD,MISUMI,"MISUMI/65/GM/CDBOX/ KIYO,  BEAUTY SOAP ",65,GM,65GM,CDBOX ,KIYO (Beauty Soap)
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,"MALIBAN/490/GM/PLPCH /CREAM CRACKER, FAMILY PACK,SAVE RS 60",490,GM,490GM,PLPCH ,"Cream Cracker (Assuming that ""Cream Cracker"" is the product name in this context)"
SUNSHINE COUNSUMER LANKA LTD,RAN KAHATA,"RAN KAHATA/100/GM/PLPCH /TEA,SAVE RS 15",100,GM,100GM,PLPCH ,TEA
HEMAS MARKETING,BABY CHERAMY ,"BABY CHERAMY/375G (75G ×5)/CDBOX/ALMOND OIL,VITAMIN E & MILK SAVE RS 45.00",375,GM,375G (75×5),CDBOX ,"Almond Oil, Vitamin E & Milk Save"
HEMAS MARKETING,BABY CHERAMY,"BABY CHERAMY/375G( 75G×5)/CDBOX/FLORAL EXTRACTS,VITAMIN E & MILK SAVE RS 45.00",375,GM,375G (75G ×5),CDBOX ,"Baby Cheramy Floral Extracts, Vitamin E & Milk Save"
NESTLE LANKA,MILO,MILO/600/GM/PLPCH/ACTIVE-GO LIMITED OFFER ,600,GM,600GM,PLPCH ,Active-GO (Limited Offer)
IMPORTED,COLOURED ,COLOURED/12 COLOURS/PINCILS,10000,10000,12 PENCIL,CD,"Pencils (assuming that ""coloured"" refers to the color of the pencils)"
CARGILLS FOODS & BEVERAGE LTD,KIST,KIST/200/GM/PBT/SQUEEASY BUDDY TOMATO SAUCE,10000,10000,200 GM,PBT,SQUEEASY BUDDY TOMATO SAUCE
UNILEVER SRI LANKA LTD,CLOSE UP,CLOSE UP/120/GM/CD BOX/TRIPLE FRESH FORMULA PEPPERMINT SPLASH+SAVE 90,10000,10000,120/GM,CD BOX,"Triple Fresh Formula Peppermint Splash (based on the presence of keywords like ""Peppermint"" and ""Peppermint Splash"" without considering pack type, quantity, or unit)"
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/1KG/PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER ,1,KG,1KG,PLPCH ,DIRT LIFT TECHNOLOGY DETERGENT POWDER
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500ML/PLBOT/POWER PLUS 10X ORIGINAL SAVE RS 50.00 FREE DIVA ROSE & LIME 200G,500,ML,500ML ,PLBOT ,Harpic Power Plus Original
HEMAS MARKETING,DIVA DIRIYA,DIVA DIRIYA/500G/ PLPCH/DIRT LIFT TECHNOLOGY DETERGENT POWDER ,500,GM,500G ,PLPCH ,DIRT LIFT TECHNOLOGY DETERGENT POWDER
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY/50ML/CDBOX/PURE & GENTLE BABY COLOGNE FREE PEARS BABY RATHMAL BABY SOAP 70G ,50,ML,50ML ,CDBOX ,"1. Pure & Gentle Baby Cologne Free Pears Baby
   2. Rathmal Baby Soap"
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/80ML/PLBOT/STRONG & THICK WITH RICE WATER PROTEIN +VITAMIN E HEALTH SHAMPOO ,80,ML,80ML ,PLBOT ,LIFEBUY STRONG & THICK WITH RICE WATER PROTEIN + VITAMIN E HEALTH SHAMPOO
NESTLE LANKA,MAGGI,MAGGI/75G/PLPCH/PAPARE BLAST INSTANT NOODLES ,75,GM,75G,PLPCH ,Papaya Blast Instant Noodles
CEYLON BISCUITS LIMITED,RITZBURY ,RITZBURY/25/GM/PLWRP/ROCCOA WITH MILK/MILK CHOCOLATE ,10000,10000,25 GM,PLWRP,ROCCAO WITH MILK (Milk Chocolate)
CEYLON BISCUITS LIMITED,RITZBURY ,ROCCOA/45/GM/PLWRP/ROCCOA WITH CASHEW/MILK CHOCOLATE ,10000,10000,45 GM,PLWRP ,ROCCOA WITH CASHEW / MILK CHOCOLATE
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ZELLERS,ZELLERS/90/GM/GM/CDBOX/DIVINE/CHOCO LAYERED BISCUITS ,10000,10000,90 GM,CDBOX ,DIVINE CHOCO LAYERED BISCUITS
MALIBAN BISCUIT MANUFACTORIES,MALIBAN YOYO,MALIBAN/85/GM/PLPCH/YOYO/CHOCO CREAM/CHOCOLATE CREAM BISCUIT,10000,10000,85 GM,PLPCH ,Chocolate Cream Biscuits (assuming the YOYO is part of the product name)
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/250ML/CAN/GRAPE BURST,250,ML,250ML,CAN,Elephant House Grape Burst
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ APPLE BURST,250,ML,250ML ,CAN,Apple Burst (from Elephant House VI)
CEYLON COLD STORES,ELEPHANT HOUSE VI BE,ELEPHANT HOUSE VI BE/ 250ML/ CAN/ ORANGE BURST,250,ML,250ML,CAN,"Orange Burst (Based on your request, I assume the product name is the descriptive term for the product. In this case, it seems to be ""Orange Burst."")"
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY MAGIC DROPS BABY COLOGNE 100ML FREE PEARS BED TIME BABY CREAM WITH MOISTURE CREAM 50ML,100,ML,100ML,CDBOX,"1. Baby Magic Pears Drops Baby Cologne
   2. Pears Bed Time Baby Cream"
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/POLOS FLAVOUR,10000,10000,60 GM,PLPCH ,POLOS FLAVOUR
WIJITHA GROUP OF COMPANIES (PVT) LTD,WIJI,WIJI /250/GM/PLPCH/THIN STRING NOODLES ,10000,10000,250 GM,PLPCH ,THIN STRING NOODLES
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/ROASTED CHICKEN ,10000,10000,60 GM,PLPCH ,ROASTED CHICKEN
MAGAM LIFE (PVT) LTD,MAGAM,MAGAM/60/GM/PLPCH/PRAWNS FLAVOUR ,10000,10000,60 GM,PLPCH ,Prawns Flavor (Magam/60/GM/PLPCH is likely a product code and not part of the product name)
GAMI RASA FOOD PRODUCTS ( PVC ) LTD ,GAMIRASA ,GAMIRASA/40/GM/PLPCH/BUCKET PACK ,10000,10000,40 GM,PLPCH ,"Bucket Pack (Based on the given information, it's difficult to determine a specific product name without additional context.)"
CEYLON COLD STORES,ELEPHANT VIBE,ELEPHANT/250/ML/VIBE/ORANGE BURST,10000,10000,250 ML,CAN,Orange Burst (based on the color mentioned)
CEYLON COLD STORES,ELEPHANT VIBE,ELEPHANT/250/ML/VIBE/GRAPE BURST,10000,10000,250 ML,CAN,ELEPHANT/VIBE/GRAPE BURST
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C \4\L\PL CAN\ NC THINNER ,4,LTR,4L,PL CAN,S & C 4L PL CAN NC Thinner
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C\4\L\PL CAN\NC THINNER ,4,LTR,4L,PL CAN,S & C Thinner
S & C HARDWARE DISTRIBUTOR,S & C NC THINNER,S & C \2\L\PL CAN\NC THINNER ,2,LTR,2L,PL CAN,"S & C 2\L\PL CAN\NC THINNER (Without Quantity, Unit or Pack Type) - Product Name: S & C Thinner"
LUCKY DISTRIBUTORS,DELTA,DELTA\4\L\PL CAN\WOOD PRESERVATIVE CLEAR ,4,LTR,4L,PL CAN,Wood Preservative Clear (Delta 4L Can)
LUCKY DISTRIBUTORS,DELTA,DELTA\2\L\PL CAN\WOOD PRESERVATIVE CLEAR ,2,LTR,2L,PL CAN,Wood Preservative Clear (from DELTA 2L CAN)
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/450/GM/ CDBOX/CREAMY ICING  CAKE ,450,GM,450GM,CDBOX ,Creamy Icing Cake
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/220/GM/CDBOX/BUTTER CAKE ,220,GM,220GM,CDBOX ,BUTTER CAKE
GREEN LIGHT BAKE HOUSE,GREEN LIGHT,GREEN LIGHT/220/GM/CDBOX/FRUIT CAKE ,220,GM,220GM,CDBOX ,Fruit Cake
NESTLE LANKA,MAGGI PAPARE,MAGGI/75/GM/PLPCH/MAGGI PAPARE BLAST INSTANT NOODLES ,75,GM,75GM,PLPCH,MAGGI Papadé Blast Instant Noodles
THE COLOMBO ICE COMPANY (PVT)LTD,ELEPHANT HOUSE ,ELEPHANT HOUSE TAMARIND & HONEY 60ML,60,ML,60ML,PLPCH,ELEPHANT HOUSE TAMARIND & HONEY
