MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE,MATCHED,nitemcode,company,brand,itemdesc,qty,uomdesc,pack_size,packaging,ERROR,ProductName,Suggestion
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/3X PROTECTION COTTON FEEL WINGS,10.0,NO,10NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51410
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA ,CHANDANALEPA/75/GM/CD BOX/KOHOMBA SOAP/SANJEEWAKA AYURVEDIC PRODUCTS,75.0,GM,75 GM,CD BOX ,1,,,,,,,,,PACKSIZE,,64208
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH /15/GM/CD BOX/NATURAL GLOW & PROTECT/UNILEVER SRI LANKA LTD,15.0,GM,15 GM,CD BOX ,1,,,,,,,,,BRAND,,64188
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH /70/GM/ CD BOX/PURIFYING WELLNESS WITH KOHOMBA PANCHAVALKADI/UNILEVER SRI LANKA LTD,70.0,GM,70 GM,CD BOX ,1,,,,,,,,,BRAND,,64082
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CD BOX/EXFOLIATING WELLNESS WITH VENIVAL ALMOND OIL AND COCONUT SHELL POWDER /UNILEVER SRI LANKA LTD,70.0,GM,70 GM,CD BOX ,1,,,,,,,,,BRAND,,64132
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA ,CHANDANALEPA /75/GM/CD BOX/VENIVAL  AYURVEDA SOAP/SANJEEWAKA AYURVEDIC PRODUCTS,75.0,GM,75 GM,CD BOX ,1,,,,,,,,,PACKSIZE,,64208
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/15/GM/CD BOX/ANTI MARK & OLI CONTROL/ UNILEVER SRI LANKA LTD,15.0,GM,15 GM,CD BOX ,1,,,,,,,,,BRAND,,64084
UNILEVER SRI LANKA LTD,AYUSH ,AYUSH/70/GM/CD BOX/GLOWING RADIANCE WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON/UNILEVER SRI LANKA LTD,70.0,GM,70 GM,CD BOX ,1,,,,,,,,,BRAND,,64081
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CD BOX/1 ST CUP MALTED FOOD/+FREE MAGGI PAPARE KOTTU 75 GM/NESTLE LANKA,400.0,GM,400 GM,CD BOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT,
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION CITRONELLA+FREE HARPIC 10X 200ML ,500.0,ML,500ML,PLBOT,2,,,,,,,,,ITEMDESC,LYSOL TRIPLE GERM ACTION CITRONELLA,
UNILEVER SRI LANKA LTD,VIM,VIM/500ML/PLBOT/LIME FRESH DISHWASH LIQUID SAVE/-50,500.0,ML,500ML,PLBOT,0,63992.0,UNILEVER SRI LANKA LTD,VIM,VIM LIME FRESH DISHWASH LIQUID 500 ML PLBOT + SAVE RS 50,500.0,ML,500.00 ML,PLBOT,,VIM Lime Fresh Dishwash Liquid,
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION+FREE 10X HARPIC 200ML ,500.0,ML,500ML,PLBOT,2,,,,,,,,,ITEMDESC,"1. Lysol Triple Germ Action 
   2. Harpic",
RECKITT BENCKISER (LANKA) LTD,LYSOL,LYSOL/500ML/PLBOT/TRIPLE GERM ACTION FLORAL+FREE HARPIC 10X 200ML,500.0,ML,500ML,PLBOT,2,,,,,,,,,ITEMDESC,LYSOL TRIPLE GERM ACTION FLORAL,
CEYLON BISCUITS LIMITED,CAROL,MUNCHEE/85/GM/CAROL COOKIES/PLPCH ,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
HEMAS MANUFACTURING PVT LTD,FEMS,FEMS\10NO (1 PACK)\EWRPK \DRYTEX WINGS 3X PROTECTION ,10.0,NO,10NO (1 PACK),EWRPK ,1,,,,,,,,,MANUFACTURE,,
CEYLON BISCUITS LIMITED,CAROL COOKIES,CBL MUNCHEE/85/GM/PLPCH/NEW LOOK AND TASTE CAROL COOKIES,85.0,GM,85 GM,PLPCH,1,,,,,,,,,BRAND,,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD DRINK/MAGGI PAPARE KOTTU 75GM FREE PACK,175.0,GM,175GM,CDBOX ,1,,,,,,,,,PACKSIZE,,63993
HEMAS MARKETING,GOYA,GOYA/70/G/CD BOX/RUBY RED,70.0,GM,70G,CD BOX,2,,,,,,,,,ITEMDESC,Ruby Red,
GRANDEUR FOOD SOLUTIONS (PVT) LTD,CRYING THIGER,CRYING THIGER\740\ML\PLBT \ SIRACHA SAUCE ,740.0,ML,740 ML,PLBT ,1,,,,,,,,,BRAND,,64193
GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM ,ROYAL ARM \200\G\GLBT \ SRIRACHA SAUCE ,200.0,GM,200 G,GLBT ,0,64195.0,GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM,ROYAL ARM SRIRACHA HOT SAUCE 200 GM GLBOT,200.0,GM,200.00 GM,GLBOT,,ROYAL ARM SRIRACHA HOT SAUCE,
MARINA FOODS (PVT) LTD ,MARINA,MARINA\400\ML\TIN \COCONUT CREAM ,400.0,ML,400 ML,TIN,1,,,,,,,,,BRAND,,64196
SHAW WALLACE CEYLON LTD,RENUKA ,RENUKA\1000\ML\TPK\ COCONUT MILK ,1000.0,ML,1000 ML,TPK,1,,,,,,,,,BRAND,,64201
GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM ,ROYAL ARM \180\G\GLBT \PERI PERI SAUCE ,180.0,GM,180 G,GLBT ,0,64194.0,GRANDEUR FOOD SOLUTIONS (PVT) LTD,ROYAL ARM,ROYAL ARM PERI PERI SAUCE 180 GM GLBOT,180.0,GM,180.00 GM,GLBOT,,ROYAL ARM PERI PERI SAUCE,
SHAW WALLACE CEYLON LTD,RENUKA ,RENUKA\400\ML\TIN \REAL THICK COCONUT MILK ,400.0,ML,400 ML,TIN,1,,,,,,,,,BRAND,,64201
GRANDEUR FOOD SOLUTIONS (PVT) LTD,CRYING THIGER,CRYING THIGER\200\ML\PLBT \ SIRACHA SAUCE ,200.0,ML,200 ML,PLBT ,1,,,,,,,,,BRAND,,64193
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/67/GM/EWRPK/LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION ,67.0,GM,67GM,EWRPK ,2,,,,,,,,,ITEMDESC,LEMONGRASS,
RICH COOL PVT,RICH COOL,RICH COOL/185ML/CUP/APPLE/,185.0,ML,185ML,CUP,1,,,,,,,,,MANUFACTURE,,
CHAMILA MILK PRODUCT ,CS DAILY ,CS / DAILY /200ML/CUP/ORENGE DRINK ,200.0,ML,200ML,CUP,1,,,,,,,,,BRAND,,14634
NESTLE LANKA,NESTOMALT,NESTOMALT/400G/CD BOX/FREE MAGGI PAPARE KOTTU 75G,400.0,GM,400G,CD BOX,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,NESTOMALT  and Maggi Papare Kottu,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX/1ST CUP MALTED FOOD + FREE MAGGI/75/GM/PLPCH/PAPARE KOTTU,400.0,GM,400 GM,CDBOX ,2,,,,,,,,,ITEMDESC,"1. NESTOMALT 
   2. Maggi",
SANDARU PRODUCTS,SANDARU,SANDARU/1000/GM/PLPCH/CHILI POWDER,1000.0,GM,1000 GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
R FOOD PRODUCTS PVT LTD,BALANGODA,BALANGODA/50/GM/PLPCH/CEYLON TEA,50.0,GM,50 GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
SINETH PRODUCTS ,HIGHLION,HIGHLION/80/GM/PLCUP/VANILLA ,80.0,GM,80 GM,PLCUP,2,,,,,,,,,ITEMDESC,PLCUP,
PIDILITE LANKA PRIVATE LIMITED,CHEMIFIX,CHEMIFIX/2/KG/PLBT/GENERAL PURPOSE ADHESIVE,2.0,KG,2KG,PLBT,1,,,,,,,,,MANUFACTURE,,
REAL MILK PRODUCTS,REAL LIFE,REAL LIFE/80/GM/PLCUP/SET YOGHURT,80.0,GM,80GM,PLCUP,2,,,,,,,,,ITEMDESC,SET YOGHURT,
N LION GROUP,MAGAM,MAGAM /25G/POCH /PEPPER POWDER ,25.0,GM,25G,POCH ,1,,,,,,,,,BRAND,,64185
N LION GROUP,MAGAM,MAGAM /50G/POCH PACK /TERMERC POWDER ,50.0,GM,50G,POCH ,1,,,,,,,,,BRAND,,64186
HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/3X PROTECTION COTTON FEEL WINGS,10.0,NO,10NO,PLPCH ,1,,,,,,,,,PACKTYPE,,51410
THE COCA COLA COMPANY ,KINLEY ,KINLEY SODA/ PET /750ML/ ,750.0,ML,750ML,PBT,1,,,,,,,,,MANUFACTURE,,
KMT TRADERS ,KMT ,KMT/500/ML/PLBOT/BRIGHT LIFE DISHWASH ,500.0,ML,500ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
ATLAS AXILLIA CO. (PVT) LTD,ATLAS,ATLAS/1/NO/SHARP FINE WRITING 0.7,1.0,NO,1NO,,2,,,,,,,,,ITEMDESC,ATLAS SHARP FINE WRITING,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400.0,GM,400G ,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,"NESTOMALT 1 ST CUP MALTED FOOD, Maggi Papare Kottu",
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, LOTHSUMBULU, ALOE VERA/SAVE RS.15/=",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,King Coconut Oil and Aloe Vera,
MAHAWELI HOLDING (PVT) LTD,MAHAWELI NC THINNER,LANKEM /1/LT/PLCAN/MAHAWELI SPECIAL/NC THINNER,1.0,LT,1LT,PLCAN,1,,,,,,,,,MANUFACTURE,,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CD BOX/1ST CUP MALTED FOOD + MAGGI PAPARE KOTTU NOODLES ,400.0,GM,400G,CD BOX ,2,,,,,,,,,ITEMDESC,"1. NESTOMALT 
   2. MAGGI Papare Kottu Noodles",
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/PLPCH/400/G/FULL CREAM MILK POWDER SAVE 50/-,400.0,GM,400G,PLPCH ,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
UNILEVER SRI LANKA LTD,SUNSILK ,SUNSILK/180/ML/PLASTIC BOTTLE/KERATIN STRAIGHT SHAMPOO WITH KERATIN AND ORGAN OIL,180.0,ML,180 ML,PLASTIC  BOTTLE ,1,,,,,,,,,PACKTYPE,,63820
HEMAS MARKETING,GALAXY BY GOLD,GALAXY BY GOLD/50/ML/ CD BOX /SPECIAL EDITION ,50.0,ML,50 ML,CD BOX,1,,,,,,,,,BRAND,,
UNILEVER SRI LANKA LTD,AYUSH,"AYUSH/70/G/CDBOX/GLOWING RADIANCE FOR GLOWING RADIANT SKIN WITH SANDALWOOD,KUMKUMADI TAILAM AND SAFFRON",70.0,GM,70G,CDBOX,1,,,,,,,,,BRAND,,64081
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VOLIN,VENDOL VOLIN/75/G/CDBOX/PROTEIN SOAP WITH VENIVEL OIL FOR GOLDEN COMPLEXION,75.0,GM,75G,CDBOX ,1,,,,,,,,,BRAND,,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE\85\G\POUCH\CAROL COOKIES,85.0,GM,85G,POUCH,1,,,,,,,,,BRAND,,64092
SAMPATH SUPER TRADING CO. PVT LTD,SAMPATH FINELIGHT,SAMPATH FINELIGHT/110/G/EWRPK/LEMON LAUNDRY SOAP,110.0,GM,110G,EWRPK ,1,,,,,,,,,MANUFACTURE,,
CEYLON CHATEAU,RAJA KAHATA,RAJA KAHATA\100\G\POUCH \BUDGET PACK TEA,100.0,GM,100G ,POUCH,1,,,,,,,,,MANUFACTURE,,
LION FRUIT PRODUCTS PVT LTD,LION,LION/1/L/PLCAN/TOMATO SAUCE ,1.0,LTR,1L,PLCAN,1,,,,,,,,,MANUFACTURE,,
NESTLE LANKA,MAGGI ,MAGGI/25/G/POUCH/REAL COCONUT MILK POWDER,25.0,GM,25G,POUCH,1,,,,,,,,,PACKSIZE,,63953
UNILEVER SRI LANKA LTD,PEARS BABY,PEARS BABY PURE & GENTLE CHOOTY PACK BABY SOAP WITH OLIVE OIL & MOIST. CREAM 70GM FREE PEARS BABY PURE & GENTLE BABY SHOP WITH OILVE OIL & MOIST. CREAM 70GM,70.0,GM,70GM,CDBOX,2,,,,,,,,,ITEMDESC,"1. Pears Baby Pure & Gentle Chooty Pack Baby Soap with Olive Oil & Moist. Cream
   2. Pears Baby Pure & Gentle Baby Shop with Olive Oil & Moist. Cream",
NESTLE LANKA LIMITED ,NESTOMALT ,NESTOMALT 1 ST CUP MALTED FOOD 400 GM/ FREE MAGGI PAPARE KOTTU STYLE 75GM,400.0,GM,400GM,CDBOX,1,,,,,,,,,MANUFACTURE,,63993
DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP OLIVE 65GM,65.0,GM,65GM,CDBOX,0,62852.0,DELMAR LANKA PVT LTD,CALIN BABY,CALIN BABY SOAP 65 GM CDBOX,65.0,GM,65.00 GM,CDBOX,,Calin Baby Soap,
THE SWADEHI INDUSTRIAL WORKS PLC,KHOMBA BABY,SWADEHI KHOMBA  LEMONGRASS FOR A PLAYFUL CITRUSY SENSATION 67GM,67.0,GM,67GM,PLPCH,1,,,,,,,,,MANUFACTURE,,
GODAKANDA HERBALS (PVT) LTD ,VENDOL VENIVEL ,"VENDOL VENIVAL TURMERIC, VENIVEL, MARGOSA, SANDALWOOD WITH ALOE VERA 85GM",85.0,GM,85GM,CDBOX,1,,,,,,,,,MANUFACTURE,,64181
PRINT EXCEL PVT LTD,RATHNA,RATHNA/80(A4)/PGS/EXERCISE BOOÄ¶,80.0,PGS,80PGS,,1,,,,,,,,,PACKSIZE,,50779
RASODA DAIRIES (PVT) LTD,RASODA VANILLA,RASODA/4000/ML/PLTUB/VENILLA ICE CREAM ,4000.0,ML,4000ML,PLTUB,1,,,,,,,,,MANUFACTURE,,
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/GLOWING RADIANCE FOR GLOWING RADIANT SKIN WITH SANDALWOOD, KUMKUMADI TAILAM AND SAFFROON",70.0,GM,70GM ,CDBOX ,1,,,,,,,,,BRAND,,64081
UNILEVER SRI LANKA LTD,AYUSH ,"AYUSH/70/GM/CDBOX/PURIFYING WELLNESS FOR SKIN PROTECTION WITH KOHOMBA,PANCHAVALKADI TAILAM AND MINT",70.0,GM,70GM ,CDBOX ,1,,,,,,,,,BRAND,,64082
RAVI HANSI ENTERPRISES ,HYFIX,HYFIX/17.5/ML/PLBOT/LIQUID GLU,17.5,ML,17.5ML,PLBOT ,1,,,,,,,,,MANUFACTURE,,
NATURE'S BEAUTY CREATIONS LTD,CHAMPION,CHAMPION/65Ã—2/GM/EWPRK/RED ENERGY ,130.0,GM,130GM ,EWPRK ,1,,,,,,,,,BRAND,,
VERONA FOOD PRODUCTS ,VERONA ,VERONA/50/GM/PLPCH/CHICKEN FLV SOYA MEAT/VERONA CEYLON FOOD PRODUCTS ,50.0,GM,50GM,PLPCH ,1,,,,,,,,,MANUFACTURE,,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/50/GM/PLPCH/RINGO SHORTIES,50.0,GM,50GM,PLPCH,1,,,,,,,,,BRAND,,56462
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/GM/PLPCH/FULL CREAM MILK POWDER+SAVE RS.50,400.0,GM,400GM,PLPCH,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/180/ML/PLBT/DRINKING YOGHURT VANILLA FLAVOUR,180.0,ML,180ML,PLBT,2,,,,,,,,,ITEMDESC,Drinking Yoghurt Vanilla Flavour,
UNILEVER SRI LANKA LTD,RIN,RIN/200/GM/PLPCH/REFRESH LEMON & ROSE DETERGENT POWDER,200.0,GM,200GM,PLPCH,0,37076.0,UNILEVER SRI LANKA LTD,RIN,RIN REFRESH SCENT OF LEMON & ROSE DETERGENT POWDER 200 GM,200.0,GM,200.00 GM,PLPCH,,RIN REFRESH Scent of Lemon & Rose Detergent Powder,
UDARATA TEA CENTER,TALAWAKELLE,THALAWAKELLE/50/GM/PLPCH/TEA HIGH GROWN,50.0,GM,50GM,PLPCH,2,,,,,,,,,ITEMDESC,TEA HIGH GROWN,
CEYLON BISCUITS LIMITED,MUNCHEE,MUNCHEE/85/GM/PLPCH/CAROL COOKIES,85.0,GM,85GM,PLPCH,1,,,,,,,,,BRAND,,64092
UDARATA TEA CENTER,THALAWAKELLE,THALAWAKELLE/100/GM/PLPCH/TEA HIGH GROWN,100.0,GM,100GM,PLPCH,1,,,,,,,,,BRAND,,36152
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/70G/CD BOX/PURIFUNG WELLNESS/,70.0,GM,70G,CD,1,,,,,,,,,BRAND,,
UNILEVER SRI LANKA LTD,AYUSH,AYUSH/70G/CD BOX/GLOWING RADIANCE,70.0,GM,70G,CD,1,,,,,,,,,BRAND,,
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL HERBAL,VENDOL VENIVAL/85G/CD BOX/TURMERIC VENIVAL /SAVE30/-,85.0,GM,85G,CD,1,,,,,,,,,BRAND,,64182
4,4 EVER,4 EVER/30G/CDBOX/GOLD BB+ CREAM,30.0,GM,30G,CDBOX,1,,,,,,,,,MANUFACTURE,,
4 EVER SKIN NATURALS (PVT) LTD,4 EVER SKIN NATURALS,4 EVER SKIN NATURALS/30G/CDBOX/GOLD BB+ CREAM ,30.0,GM,30G,CDBOX,1,,,,,,,,,BRAND,,
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA ,KHOMBA /67G/POCH /LEMONGRASS/,67.0,GM,67G,POCH ,1,,,,,,,,,PACKTYPE,,63961
CEYLON BISCUITS LIMITED,MUNCHEE ,MUNCHEE/85/G/PLPCH/CAROL COOKIES,85.0,GM,85G,PLPCH ,1,,,,,,,,,BRAND,,64092
CHINESE PARKVIEW HOTELS PVT LTD,PARKVIEW/,PARKVIEW/400/GM/NOODLES/PLCH,400.0,GM,400GM,PLCH,1,,,,,,,,,MANUFACTURE,,
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,"KEKULU/70/GM/CDB/KING COCONUT OIL, SANDALWOOD, AROODA, JASMINE, KOKUM POTHU/SAVE RS.15/=",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,"King Coconut Oil, Sandalwood, Arooda, Jasmine, Kokum Pothu",
NARAH COMPUTER FORMS,TEN,TEN/1/NO/DRAWING BOOK 40PGS MEDIUM SIZE ,1.0,NO,1NO,,2,,,,,,,,,ITEMDESC,Drawing Book,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"LEVER AYUSH/70/GM/CDB/KOHOMBA, PANCHAVALKADI TAILAM & MINT PURIFYING WELLNESS FOR SKIN PROTECTION ",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,Panchavalakadi Tailam & Mint Purifying Wellness for Skin Protection,
UNILEVER SRI LANKA LTD,LEVER AYUSH,"LEVER AYUSH/70/GM/CDB/SANDALWOOD, KUMKUMADI TAILAM & SAFFRON GLOWING RADIANCE ",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,"1. Lever AYUSH Sandalwood, Kumkumadi Tailam & Saffron Glowing Radiance",
NARAH COMPUTER FORMS,TEN,TEN/1/NO/EXERCISE BOOK 40 PGS A4,1.0,NO,1NO,,2,,,,,,,,,ITEMDESC,EXERCISE BOOK,
SMITHKLINE BEECHAM PVT LTD,SENSODYNE,SENSODYNE SENSITIVE/SOFT/01 NO,1.0,NO,01 NO,01 NO,1,,,,,,,,,MANUFACTURE,,63964
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA BABY,CHANDANALEPA BABY/70/GM/CDB/RATHMAL & POKURU WADA,70.0,GM,70GM ,CDB,1,,,,,,,,,BRAND,,64208
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA BABY,CHANDANALEPA BABY/70/GM/CDB/MILK & HONEY ,70.0,GM,70GM ,CDB,1,,,,,,,,,BRAND,,
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/400/G/PLPCH/FULL CREAM MILK POWDER /50/-SAVE,400.0,GM,400G,PLPCH ,0,63955.0,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,400.0,GM,400.00 GM,PLPCH,,PELWATTE FULL CREAM MILK POWDER,
SIDDHALEPA AYURVEDA EXPORTS,KEKULU,KEKULU/70/G/CDBOX/THAMBILI THEL.WHITE SANDAL .AROODA.SAMAN PICHCHA.KOKUM POTHU/15-SAVE,70.0,GM,70G,CDBOX ,2,,,,,,,,,ITEMDESC,Thambili Thel.White Sandal,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/G/CDBOX/1ST CUP MALTED FOOD/WITH MAGGI PAPARE KOTTU 75G FREE,400.0,GM,400G ,CDBOX ,0,63993.0,NESTLE LANKA,NESTOMALT,NESTOMALT 1 ST CUP MALTED FOOD 400 GM CDBOX + FREE MAGGI PAPARE KOTTU 75 GM PLPCH,400.0,GM,400.00 GM,CDBOX,,"NESTOMALT 1 ST CUP MALTED FOOD, Maggi Papare Kottu",
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,ABHA,ABHA/21/G/PLPCH/ 5 MINUTE HAIR COLOUR LIQUID 9  GOODNESS OF HERBS FREE PARASHUTE NELLI COCONUT OIL,21.0,GM,21G,PLPCH,1,,,,,,,,,BRAND,,
HEMAS MANUFACTURING PVT LTD,FEMS,FEMS\10NO (1 PACK)\EWRPK \DRYTEX WINGS 3X PROTECTION ,10.0,NO,10NO (1 PACK),EWRPK ,1,,,,,,,,,MANUFACTURE,,
BESTON PRODUCTS,BESTON,BESTON/1000/GM/PLPCH/ CHILLI PIECES ,1000.0,GM,1000GM,PLPCH,2,,,,,,,,,ITEMDESC,Chilli Pieces,
BESTON PRODUCTS,BESTON,BESTON/1000/GM/PLPCH/CURRY POWDER ,1000.0,GM,1000GM,PLPCH,0,64173.0,BESTON PRODUCTS,BESTON,BESTON CURRY POWDER 1000 GM PLPCH,1000.0,GM,1000.00 GM,PLPCH,,BESTON Curry Powder,
NESTLE LANKA,NESTOMALT,NESTOMALT/400/GM/CDBOX /1 ST CUP/MOLTED FOOD/FREE PACK /PAPARE KOTTU /75/GM/PLPCH,400.0,GM,400 GM,CDBOX ,2,,,,,,,,,ITEMDESC,"From the given description, the product name is ""NESTOMALT.""",
GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,GODREJ,GODREJ/21/ML/PLPCH/EXPERT 5 MINUTES ENRICHED WITH ALOE VERA & NELLI NATURAL BLACK HAIR COLOUR LIQUID ,21.0,ML,21ML,PLPCH ,0,53569.0,GODREJ HOUSEHOLD PRODUCTS (PVT) LTD,GODREJ,GODREJ EXPERT NATURAL BLACK 5 MINUTES HAIR COLOUR LIQUID 21 ML PLPCH,21.0,ML,21.00 ML,PLPCH,,Godrej Expert Natural Black Hair Colour Liquid,
CEYLON BISCUITS LIMITED,MUNCHEE CAROL COOKIES,MUNCHEE CAROL COOKIES/85/GM/PLPCH,85.0,GM,85GM,PLPCH ,1,,,,,,,,,BRAND,,64092
RITIGALA PRODUCTS (PVT) LTD,RITIGALA,RITIGALA/1000/GM/PLPCH/CHILLI CUTTER,1000.0,GM,1000GM ,PLPCH ,1,,,,,,,,,MANUFACTURE,,
LINK NATURAL PRODUCT,LINK SUDANTHA,LINK SUDANTHA/2/NO/SMILE MEDIUM DOUBLE PACK/SAVE RS. 15/=,2.0,NO,2NO,,2,,,,,,,,,ITEMDESC,Sudantha/Smile Medium,
UNILEVER SRI LANKA LTD,DOVE,DOVE/80/ML/PBT/NUTRI SERUM HAIR FALL RESCUE SHAMPOO/VASELINE HEALTHY BRIGHT/15/GM/CDB/IN 2 WEEKS RESTORES VISIBLY BRIGHT SKIN SERUM IN LOTION ,80.0,ML,80ML ,PBT,1,,,,,,,,,PACKTYPE,,64168
HELARASA TRADING (PVT)LTD,HELARASA,HELA RASA/500/GM/PLPCH/SPECIAL NOODLES ,500.0,GM,500GM ,PLPCH ,0,64170.0,HELARASA TRADING (PVT)LTD,HELARASA,HELA RASA SPECIAL NOODLES 500 GM PLPCH,500.0,GM,500.00 GM,PLPCH,,HELA RASA SPECIAL NOODLES,
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL BABY,VENDOL BABY/240(80GÃ—3)/GM/CDB/ROSE & JASMINE MOISTURISING SOAP/B3 SAVE RS. 40/=,280.0,GM,280GM(80GÃ—3),CDB,1,,,,,,,,,BRAND,,64165
UNILEVER SRI LANKA LTD,LIFEBUOY,"LIFEBUOY/175/ML/PBT/STRONG & THICK  HEALTH SHAMPOO WITH RICE WATER, PROTEIN + VITAMINS",175.0,ML,175ML ,PBT,1,,,,,,,,,PACKTYPE,,64053
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/70/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM",70.0,GM,70GM ,CDB,2,,,,,,,,,ITEMDESC,"Total Oral Care Cavity Protection, Healthy Gums & Reduces Plaque with Clove Oil & Dasanakanthi Choornam",
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/110/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM",110.0,GM,110GM ,CDB,0,64171.0,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM 110 GM CDBOX,110.0,GM,110.00 GM,CDBOX,,AYUSH TOTAL ORAL CARE FLUORIDATED TOOTHPASTE WITH CLOVE OIL & DASANAKANTHI CHOORNAM,
